"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"6913","21342","Laperrière-sur-Saône","laperriere-sur-saone","laperriere sur saone","21","27","0",,"21170","47.1063954039","5.34614793707"
"6914","21343","Larrey","larrey","larrey","21","27","0",,"21330","47.897345637","4.42446756868"
"6915","21344","Lechâtelet","lechatelet","lechatelet","21","27","0",,"21250","47.0530922759","5.14157005423"
"6916","21345","Léry","lery","lery","21","27","0",,"21440","47.5563340151","4.84629917449"
"6917","21346","Leuglay","leuglay","leuglay","21","27","0",,"21290","47.8137240712","4.81901866828"
"6918","21347","Levernois","levernois","levernois","21","27","0",,"21200","46.9937203239","4.87163680948"
"6919","21348","Licey-sur-Vingeanne","licey-sur-vingeanne","licey sur vingeanne","21","27","0",,"21610","47.4868270493","5.37313028131"
"6920","21349","Liernais","liernais","liernais","21","27","0",,"21430","47.2198460424","4.28865681404"
"6921","21350","Lignerolles","lignerolles","lignerolles","21","27","0",,"21520","47.9017137167","4.88758854906"
"6922","21351","Longchamp","longchamp","longchamp","21","27","0",,"21110","47.2617509825","5.295682026"
"6923","21352","Longeault-Pluvault","longeault-pluvault","longeault pluvault","21","27","0",,"21110","47.2217035106","5.25044095624"
"6924","21353","Longecourt-en-Plaine","longecourt-en-plaine","longecourt en plaine","21","27","0",,"21110","47.1979962119","5.14631523953"
"6925","21354","Longecourt-lès-Culêtre","longecourt-les-culetre","longecourt les culetre","21","27","0",,"21230","47.1604658111","4.55141809098"
"6926","21355","Longvic","longvic","longvic","21","27","0",,"21600","47.285832398","5.05278368483"
"6927","21356","Losne","losne","losne","21","27","0",,"21170","47.0776286494","5.2762318698"
"6928","21357","Louesme","louesme","louesme","21","27","0",,"21520","47.8893078984","4.76394651159"
"6929","21358","Lucenay-le-Duc","lucenay-le-duc","lucenay le duc","21","27","0",,"21150","47.6225345197","4.49972011434"
"6930","21359","Lucey","lucey","lucey","21","27","0",,"21290","47.8522055495","4.8627475209"
"6931","21360","Lusigny-sur-Ouche","lusigny-sur-ouche","lusigny sur ouche","21","27","0",,"21360","47.0825921168","4.68300097663"
"6932","21361","Lux","lux","lux","21","27","0",,"21120","47.4883380646","5.21763359421"
"6933","21362","Maconge","maconge","maconge","21","27","0",,"21320","47.2256941351","4.57793028997"
"6934","21363","Magnien","magnien","magnien","21","27","0",,"21230","47.1094556345","4.43331214138"
"6935","21364","Magny-Lambert","magny-lambert","magny lambert","21","27","0",,"21450","47.6788317802","4.58658221612"
"6936","21365","Magny-la-Ville","magny-la-ville","magny la ville","21","27","0",,"21140","47.479838166","4.42998686533"
"6937","21366","Magny-lès-Aubigny","magny-les-aubigny","magny les aubigny","21","27","0",,"21170","47.1123094522","5.16861149822"
"6938","21367","Magny-Montarlot","magny-montarlot","magny montarlot","21","27","0",,"21130","47.2486656169","5.34673748926"
"6939","21368","Magny-lès-Villers","magny-les-villers","magny les villers","21","27","0",,"21700","47.0941869069","4.87453394791"
"6940","21369","Magny-Saint-Médard","magny-saint-medard","magny saint medard","21","27","0",,"21310","47.3813252899","5.24751740638"
"6941","21370","Magny-sur-Tille","magny-sur-tille","magny sur tille","21","27","0",,"21110","47.2739632759","5.17279163884"
"6942","21371","Les Maillys","les-maillys","les maillys","21","27","0",,"21130","47.1456968654","5.32935525121"
"6943","21372","Maisey-le-Duc","maisey-le-duc","maisey le duc","21","27","0",,"21400","47.8448667792","4.67600444524"
"6944","21373","Mâlain","malain","malain","21","27","0",,"21410","47.3212468007","4.79374280109"
"6945","21374","Maligny","maligny","maligny","21","27","0",,"21230","47.0845064806","4.50527523907"
"6946","21375","Manlay","manlay","manlay","21","27","0",,"21430","47.1203533728","4.33317142966"
"6947","21376","Marandeuil","marandeuil","marandeuil","21","27","0",,"21270","47.3453618819","5.34081776332"
"6948","21377","Marcellois","marcellois","marcellois","21","27","0",,"21350","47.3488163449","4.61557807923"
"6949","21378","Marcenay","marcenay","marcenay","21","27","0",,"21330","47.8611145117","4.40461993622"
"6950","21379","Marcheseuil","marcheseuil","marcheseuil","21","27","0",,"21430","47.1449732022","4.37213113513"
"6951","21380","Marcigny-sous-Thil","marcigny-sous-thil","marcigny sous thil","21","27","0",,"21390","47.3913107616","4.38452242711"
"6952","21381","Marcilly-et-Dracy","marcilly-et-dracy","marcilly et dracy","21","27","0",,"21350","47.4053843394","4.49597262896"
"6953","21382","Marcilly-Ogny","marcilly-ogny","marcilly ogny","21","27","0",,"21320","47.2485958076","4.40242796827"
"6954","21383","Marcilly-sur-Tille","marcilly-sur-tille","marcilly sur tille","21","27","0",,"21120","47.5125107909","5.12883412558"
